Age,Salary,Experience,Credit_Score,Existing_Loans,EMI_Burden,Loan_Amount,Job_Type,City,Education,Marital_Status,Loan_Purpose,Loan_Approved
59,25330,37,516,0,42,1278242,Private Job,Mumbai,Post Graduate,Divorced,Car Loan,0
49,28155,28,492,3,40,1129442,Private Job,Delhi,Graduate,Single,Home Loan,0
35,68084,14,699,0,45,708595,Government Job,Delhi,Graduate,Single,Car Loan,1
63,92342,40,729,0,42,173823,Private Job,Bhopal,High School,Divorced,Home Loan,1
28,70606,6,430,3,30,355627,Self Employed,Indore,Post Graduate,Single,Personal Loan,0
41,10000,22,460,1,14,700969,Government Job,Delhi,Graduate,Single,Education Loan,1
59,76412,38,370,0,73,1236368,Private Job,Mumbai,Post Graduate,Single,Home Loan,0
39,13274,19,541,1,76,1004704,Private Job,Jaipur,Graduate,Married,Education Loan,0
43,80567,24,422,2,32,1404996,Private Job,Bhopal,Graduate,Single,Education Loan,1
31,43269,11,826,2,52,947637,Government Job,Mumbai,Graduate,Married,Education Loan,1
31,69074,11,755,3,33,537143,Private Job,Jaipur,Graduate,Married,Personal Loan,1
44,123109,26,580,2,48,659670,Private Job,Mumbai,Post Graduate,Single,Education Loan,1
56,49406,34,300,2,39,266541,Government Job,Delhi,Graduate,Married,Car Loan,1
60,37360,40,491,1,81,373908,Self Employed,Delhi,Post Graduate,Single,Car Loan,0
44,46975,20,537,0,32,1093903,Private Job,Jaipur,High School,Married,Personal Loan,0
23,14923,2,827,1,33,1370080,Government Job,Mumbai,Graduate,Single,Home Loan,1
42,29878,21,483,0,50,1233933,Private Job,Jaipur,Graduate,Married,Car Loan,0
22,91960,3,439,2,43,1404340,Self Employed,Delhi,Graduate,Married,Home Loan,1
44,10000,23,644,4,35,1167765,Self Employed,Delhi,Post Graduate,Divorced,Education Loan,0
64,41174,40,770,1,35,920742,Self Employed,Delhi,Post Graduate,Single,Education Loan,1
50,67188,27,435,2,64,1130112,Private Job,Bhopal,High School,Married,Car Loan,0
58,47713,40,371,0,49,512623,Private Job,Bhopal,High School,Single,Education Loan,0
22,100491,2,389,0,71,889539,Private Job,Delhi,High School,Married,Home Loan,0
41,54996,19,749,2,22,480396,Self Employed,Delhi,High School,Single,Personal Loan,1
53,49832,34,884,0,84,202641,Government Job,Jaipur,Graduate,Divorced,Personal Loan,1
32,64476,14,555,2,47,100362,Private Job,Indore,Graduate,Married,Home Loan,1
42,68151,22,596,1,76,1488701,Private Job,Bhopal,Graduate,Single,Car Loan,0
64,60001,40,831,0,12,399289,Government Job,Indore,Graduate,Married,Personal Loan,1
45,57851,25,770,2,89,267362,Private Job,Bhopal,High School,Married,Education Loan,1
47,10000,26,889,3,26,948891,Private Job,Bhopal,Graduate,Single,Personal Loan,0
62,26096,38,529,0,79,136435,Private Job,Jaipur,High School,Divorced,Home Loan,0
48,77312,27,410,0,60,867476,Self Employed,Mumbai,High School,Married,Car Loan,0
36,90234,12,679,0,61,131643,Private Job,Delhi,Graduate,Married,Personal Loan,1
35,98320,16,735,0,12,251168,Government Job,Mumbai,High School,Married,Home Loan,1
